Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 2 / 2 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -106.681
5 / 2 / 3 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -100.781
5 / 2 / 4 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -100.521
5 / 2 / 5 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -94.7074
5 / 2 / 6 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -94.2014
5 / 2 / 7 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -88.4775
5 / 2 / 8 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -87.7196
5 / 2 / 9 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -82.0872
5 / 2 / 10 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -81.0707
5 / 2 / 11 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -75.5323
5 / 2 / 12 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -74.2507
5 / 2 / 13 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / -68.8087
5 / 2 / 14 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / -67.2551
5 / 2 / 15 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -61.9119
5 / 2 / 16 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -60.0793
5 / 2 / 17 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -54.8375
5 / 2 / 18 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -52.7187
5 / 2 / 19 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -47.581
5 / 2 / 20 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -45.1686
5 / 2 / 21 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -40.1376
5 / 2 / 22 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -37.4241
5 / 2 / 23 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -32.5025
5 / 2 / 24 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -29.4802
5 / 2 / 25 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -24.6708
5 / 2 / 26 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -21.3316
5 / 2 / 27 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -16.6374
5 / 2 / 28 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -12.9733
5 / 2 / 29 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / -8.39716
5 / 2 / 30 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / -4.3997
5 / 2 / 31 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 0.0552776
